Algoritmo,Quantum,N_Processos,Rodada,TME
fifo,20,50,16,73338.520000
fifo,20,50,17,61922.220000
fifo,20,50,18,69373.560000
fifo,20,50,19,61335.320000
fifo,20,50,20,47082.460000
fifo,20,50,21,56206.220000
fifo,20,50,22,65496.640000
fifo,20,50,23,50781.880000
fifo,20,50,24,62530.580000
fifo,20,50,25,49864.240000
fifo,20,50,26,74834.560000
fifo,20,50,27,60784.940000
fifo,20,50,28,50767.220000
fifo,20,50,29,69117.320000
fifo,20,50,30,64967.800000
fifo,20,60,1,67365.500000
fifo,20,60,2,95803.366667
fifo,20,60,3,63982.250000
fifo,20,60,4,71608.550000
fifo,20,60,5,78890.700000
fifo,20,60,6,80855.966667
fifo,20,60,7,86833.650000
fifo,20,60,8,59464.833333
fifo,20,60,9,71541.316667
fifo,20,60,10,57518.850000
fifo,20,60,11,69870.183333
fifo,20,60,12,73757.833333
fifo,20,60,13,66826.000000
fifo,20,60,14,80458.250000
fifo,20,60,15,69820.133333
fifo,20,60,16,79073.883333
fifo,20,60,17,80369.600000
fifo,20,60,18,78300.716667
fifo,20,60,19,87803.800000
fifo,20,60,20,87345.100000
fifo,20,60,21,85629.900000
fifo,20,60,22,67909.550000
fifo,20,60,23,60653.183333
fifo,20,60,24,85928.850000
fifo,20,60,25,67542.366667
fifo,20,60,26,116207.333333
fifo,20,60,27,92216.833333
fifo,20,60,28,83349.166667
fifo,20,60,29,68665.100000
fifo,20,60,30,89370.950000
fifo,20,70,1,88130.771429
fifo,20,70,2,82051.171429
fifo,20,70,3,96190.014286
fifo,20,70,4,82250.785714
fifo,20,70,5,78843.857143
fifo,20,70,6,98603.057143
fifo,20,70,7,73205.757143
fifo,20,70,8,84502.771429
fifo,20,70,9,79956.142857
fifo,20,70,10,87319.628571
fifo,20,70,11,99973.957143
fifo,20,70,12,110642.585714
fifo,20,70,13,86763.914286
fifo,20,70,14,89202.328571
fifo,20,70,15,70172.271429
fifo,20,70,16,79922.928571
fifo,20,70,17,96079.642857
fifo,20,70,18,94580.885714
fifo,20,70,19,96318.571429
fifo,20,70,20,77610.714286
fifo,20,70,21,74748.871429
fifo,20,70,22,99341.314286
fifo,20,70,23,82529.671429
fifo,20,70,24,79666.985714
fifo,20,70,25,60785.528571
fifo,20,70,26,84710.414286
fifo,20,70,27,96966.900000
fifo,20,70,28,92940.128571
fifo,20,70,29,86071.700000
fifo,20,70,30,91674.500000
fifo,20,80,1,111327.700000
fifo,20,80,2,102501.075000
fifo,20,80,3,82443.637500
fifo,20,80,4,109811.937500
fifo,20,80,5,88428.750000
fifo,20,80,6,97821.900000
fifo,20,80,7,82637.550000
fifo,20,80,8,108595.537500
fifo,20,80,9,96375.825000
fifo,20,80,10,96630.337500
fifo,20,80,11,113326.650000
fifo,20,80,12,89198.637500
fifo,20,80,13,93860.675000
fifo,20,80,14,92482.137500
fifo,20,80,15,104638.750000
fifo,20,80,16,113229.937500
fifo,20,80,17,93626.425000
fifo,20,80,18,104343.562500
fifo,20,80,19,101010.337500
fifo,20,80,20,93219.137500
fifo,20,80,21,111746.225000
fifo,20,80,22,99911.500000
fifo,20,80,23,114582.500000
fifo,20,80,24,98252.587500
fifo,20,80,25,106385.562500
fifo,20,80,26,92803.087500
fifo,20,80,27,78125.875000
fifo,20,80,28,99373.925000
fifo,20,80,29,113495.250000
fifo,20,80,30,94208.437500
fifo,20,90,1,107119.300000
fifo,20,90,2,105867.811111
fifo,20,90,3,117290.800000
fifo,20,90,4,108666.933333
fifo,20,90,5,103457.188889
fifo,20,90,6,107204.988889
fifo,20,90,7,121901.222222
fifo,20,90,8,115280.966667
fifo,20,90,9,100764.455556
fifo,20,90,10,81594.655556
fifo,20,90,11,109589.377778
fifo,20,90,12,108803.600000
fifo,20,90,13,113000.722222
fifo,20,90,14,91360.888889
fifo,20,90,15,85693.355556
fifo,20,90,16,96369.688889
fifo,20,90,17,115486.855556
fifo,20,90,18,110872.600000
fifo,20,90,19,99194.300000
fifo,20,90,20,111593.477778
fifo,20,90,21,145452.555556
fifo,20,90,22,113875.688889
fifo,20,90,23,121444.822222
fifo,20,90,24,108831.566667
fifo,20,90,25,114353.200000
fifo,20,90,26,119790.844444
fifo,20,90,27,107549.866667
fifo,20,90,28,118829.055556
fifo,20,90,29,102637.411111
fifo,20,90,30,105687.133333
fifo,20,100,1,128473.750000
fifo,20,100,2,134599.260000
fifo,20,100,3,112801.490000
fifo,20,100,4,88515.210000
fifo,20,100,5,102552.470000
fifo,20,100,6,142864.210000
fifo,20,100,7,132887.030000
fifo,20,100,8,116205.020000
fifo,20,100,9,134728.250000
fifo,20,100,10,121498.770000
fifo,20,100,11,111650.650000
fifo,20,100,12,122389.230000
fifo,20,100,13,129459.100000
fifo,20,100,14,128884.160000
fifo,20,100,15,127534.410000
fifo,20,100,16,110770.180000
fifo,20,100,17,119498.200000
fifo,20,100,18,122912.750000
fifo,20,100,19,115631.530000
fifo,20,100,20,133659.440000
fifo,20,100,21,119603.990000
fifo,20,100,22,126856.350000
